time,theta1,theta2,theta1_dot,theta2_dot,estimated_theta1,estimated_theta2,estimated_theta1_dot,estimated_theta2_dot,observed_theta1,observed_theta2,control_inputs,delayed_inputs,diff_history,com_x,com_y,cop
0.2,-0.10625651907659428,0.7109924181298584,-0.7209954329975167,3.8158140075979285,-0.8385832385370073,3.606387045826564,-0.5865084640918914,3.850699287932585,-0.10625651907659428,0.7109924181298584,"[0, 0]","[np.int64(0), np.int64(0)]",0.827251952074111,0.11898146298934696,0.9290079816034453,1.9259195874953803
0.21,-0.11325806255392168,0.7492586051969097,-0.6793406239249958,3.838606973585585,-0.8233617487491667,3.6893513475540685,-0.542296762844048,3.875553512302954,-0.11325806255392168,0.7492586051969097,"[0, 0]","[np.int64(0), np.int64(0)]",0.7925986864789175,0.12253337112092273,0.920877009573756,1.859139641638317
0.22,-0.11984254413837414,0.7877841188473105,-0.6375394033716804,3.867543716136222,-0.7859685983890615,3.7279681401942675,-0.5094308224481547,3.902473732358791,-0.11984254413837414,0.7877841188473105,"[0, 0]","[np.int64(0), np.int64(0)]",0.7573819475100545,0.12614012455592477,0.912373518045902,1.7764111057889826
0.23,-0.12600745731491259,0.826627139947469,-0.595392869573927,3.9020013345860582,-0.7424610826819901,3.747183455806174,-0.47939926142506906,3.9335886523386066,-0.12600745731491259,0.826627139947469,"[0, 0]","[np.int64(0), np.int64(0)]",0.7214003268888396,0.12979631252252483,0.9034962309589999,1.6918488178643496
0.24,-0.13174854829106364,0.8658403298829329,-0.5527479105661884,3.941490497148383,-0.6967500907839781,3.7602755413577014,-0.44991962092183435,3.9693157287665954,-0.13174854829106364,0.8658403298829329,"[0, 0]","[np.int64(0), np.int64(0)]",0.6844964588572521,0.13349456718644054,0.8942440719709529,1.6136475136988668
0.25,-0.13706021118075196,0.9054719592527682,-0.5094854678956582,3.985616517387159,-0.6494694212410635,3.7716298737478198,-0.4206328420550687,4.009427768428729,-0.13706021118075196,0.9054719592527682,"[0, 0]","[np.int64(0), np.int64(0)]",0.6465456790764101,0.1372255767360675,0.8846162791523562,1.5454337814385344
0.26,-0.14193578634795356,0.9455667102225407,-0.46551267301096527,4.034052289906828,-0.6018463418390383,3.7836424147151098,-0.3909475806343359,4.053760731605216,-0.14193578634795356,0.9455667102225407,"[0, 0]","[np.int64(0), np.int64(0)]",0.6074484593589189,0.140978080927108,0.8746125367993971,1.4881380778305755
0.27,-0.1463677942868249,0.9861662514352822,-0.42075763592982685,4.0865193019014825,-0.5549648412377647,3.7987328854938385,-0.36009565464737925,4.102238957500056,-0.1463677942868249,0.9861662514352822,"[0, 0]","[np.int64(0), np.int64(0)]",0.5671254302166517,0.14473885744813852,0.8642331229254697,1.4413711652914867
0.28,-0.15034812690721777,1.0273096518271538,-0.3751660097878977,4.142774007098982,-0.509347945213008,3.8190016636049173,-0.3275587009069163,4.1547474564109095,-0.15034812690721777,1.0273096518271538,"[0, 0]","[np.int64(0), np.int64(0)]",0.5255141366951155,0.14849270529114722,0.8534790711524325,1.4042288026349077
0.29,-0.15386821083654567,1.0690336772365017,-0.3286987445389533,4.20259774809711,-0.46537555813634746,3.845951546609185,-0.2931106469722895,4.211109184554161,-0.15386821083654567,1.0690336772365017,"[0, 0]","[np.int64(0), np.int64(0)]",0.482566955375499,0.1522224300760524,0.8423523462476252,1.3757029171415938
0.3,-0.15691915257280442,1.1113729989482897,-0.2813306480692796,4.265789050949573,-0.423575070313182,3.8806440561118793,-0.2567158167540171,4.271108947887541,-0.15691915257280442,1.1113729989482897,"[0, 0]","[np.int64(0), np.int64(0)]",0.438249800642084,0.15590883563953556,0.8308560329331829,1.3548683207638201
0.31,-0.15949187222687922,1.1543603338070545,-0.23304950674506353,4.332157534452744,-0.38460131416386956,3.923833438293097,-0.21852188488606217,4.334491651838519,-0.15949187222687922,1.1543603338070545,"[0, 0]","[np.int64(0), np.int64(0)]",0.39254137897194274,0.15953072591682607,0.8189945377247119,1.3409541549998802
0.32,-0.16157723056799878,1.1980265293942711,-0.18385560144881213,4.4015189425605845,-0.34920621769469185,3.9759893365452035,-0.1789047513665878,4.400944464894181,-0.16157723056799878,1.1980265293942711,"[0, 0]","[np.int64(0), np.int64(0)]",0.3454328320168109,0.16306492106976045,0.806773803461001,1.33336095967285
0.33,-0.16316615272992996,1.2424006037609336,-0.13376150728487343,4.4736909767134785,-0.31824576561214013,4.037289001350095,-0.13851091539830307,4.470078738052592,-0.16316615272992996,1.2424006037609336,"[0, 0]","[np.int64(0), np.int64(0)]",0.2969276600148034,0.16648629185189,0.7942015359101324,1.33165478377245
0.34,-0.16424975099310135,1.2875097465576166,-0.08279209748762718,4.548489713076671,-0.2926520296267289,4.10758134260766,-0.09831334220129762,4.541407101907865,-0.16424975099310135,1.2875097465576166,"[0, 0]","[np.int64(0), np.int64(0)]",0.24704184848072852,0.16976781628993784,0.7812874414146816,1.3355536964140082
0.35000000000000003,-0.164819448372858,1.333379286638026,-0.03098469224738449,4.625726461168464,-0.2733775588474722,4.1863147150421725,-0.05970891732426509,4.614306997650061,-0.164819448372858,1.333379286638026,"[0, 0]","[np.int64(0), np.int64(0)]",0.19580414062024248,0.17288066285505257,0.7680434739905504,1.3449138281876103
0.36,-0.16486710421981376,1.3800326300379027,0.021610694234127245,4.705204969215355,-0.2613491699837446,4.272437200451222,-0.024684189291434677,4.687962228779142,-0.16486710421981376,1.3800326300379027,"[0, 0]","[np.int64(0), np.int64(0)]",0.18647779845394102,0.17579430435906945,0.7544840896325778,1.3597180443882946
0.37,-0.16438514261406656,1.427491171468958,0.07493104737757117,4.7867189162009725,-0.2574382691301414,4.364255207649533,0.003929523372669053,4.761276275182283,-0.16438514261406656,1.427491171468958,"[0, 0]","[np.int64(0), np.int64(0)]",0.23931618999163773,0.17847666680508278,0.7406265048142329,1.38006847970534
0.38,-0.16336668397180887,1.4757741820027288,0.12890002083892568,4.870049656010306,-0.2623878286404193,4.459179189229565,0.022167450499999575,4.83277662181635,-0.16336668397180887,1.4757741820027288,"[0, 0]","[np.int64(0), np.int64(0)]",0.2922667048107346,0.1808943173133564,0.7264909553081863,1.406183375817752
0.39,-0.16180567995506712,1.5248986753766847,0.18342761183203052,4.954964198357236,-0.27650842080649324,4.553240377506952,0.024999109366241612,4.900638863502138,-0.16180567995506712,1.5248986753766847,"[0, 0]","[np.int64(0), np.int64(0)]",0.3452332917870976,0.18301269499795633,0.7121009505132567,1.438398417566301
